@relation 'final-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,2'

@attribute Plant.start numeric
@attribute harvested.area numeric
@attribute temp.at.planting numeric
@attribute precip.at.planting numeric
@attribute Crop.name {Wheat,Maize,Beans,Potato,Barley,Rice,Sorghum,Potatoes,Millet,'Winter Wheat',Cotton,'Potato (main)','Winter Rye','Spring Barley','Maize (main)','Maize (second)',Cassava,Yams,Soybean,'Sweet Potato','Beans (main)','Sorghum (main)','Sorghum (second)','Main Wet Season Rice','Dry Season Rice',Pulses,Sugarbeet,'Rice (main)','Rice (second)','Sweet Potatoes','Soya Bean','Potato (Main Season)','Maize (main crop)','Maize (off season crop)','Rice (main crop)','Rice (off season crop)','Wheat (Meher)','Maize (Meher)','Sorghum (Meher)','Millet (Meher)','Oats (Meher)','Barley (Meher)',Groundnut,'Rice (main season)','Rice (second season)','Spring Wheat','Wheat (long rains)','Maize (long rains)','Maize (short rains)','Millet (long rains)','Sorghum (long rains)','Sorghum (short rains)','Barley (long rains)','Beans (long rains)','Rice (wet season)','Rice (dry season)',Sunflower,'Rice (rainfed)','Rice (irrigated)','Rice (off-season)','Winter wheat','Rice (upland)',Cowpea,'Maize (Gu)','Maize (Der)','Millet (main)',Peanut,'Aman rice','Boro rice','Corn (1)',Corn,'Single-crop rice','Early double-crop rice','Late double-crop rice','Spring wheat',Groundnuts,'Winter Rapeseed',Oat,'Barley (winter)',Rapeseed,Sugarbeets,'Winter Barley',Rye,'Sorghum (summer)','Sorghum (winter)',Oats,'Soft wheat','Durum wheat','Winter barley','Spring barley','Winter rapeseed',Sunseed,Soybeans,'Rice (second crop)','Tenth month Rice','Winter-spring Rice','Rice, main crop','Corn, first crop','Corn, Dry season','Corn, rainy season','Corn (2)','Barley - spring','Barley - winter','Beans - dry','Oats - spring','Oats - winter',Peanuts,'Potatoes - fall',Sunflowers,'Sweet potatoes','Wheat - spring','Wheat - winter','Paddy - I','Paddy - II',Bajra,'Jowar (Kharif)','Jowar (Rabi)','Groundnut (Kharif)','Paddy (Kharif)','Paddy (Rabi)',Rape,'Bajra (Kharif)','Wheat (Rabi)','Maize (Kharif)',Paddy,'Cotton (Hybrid)',Jowar,'Cotton (Kharif)','Sunflower (Kharif)','Soyabean (Kharif)','Groundnut (Rabi)',Mung,'Ragi (Kharif)',Gram,'Aman paddy/Kharif','Boro paddy/Rabi','Broom Millet','Cotton (coast)','Cotton (lake)',Sunflowerseed,'Irish Potatoes','Rice (main - north region)','Rice (main - south region)','Rice (second - north region)','Rice (second - south region)','Peanuts (north)','Peanuts (south)','Soybeans (north)','Soybeans (east)','Sweet Potatoes (north)','Sweet Potatoes (south)','Cotton (Gu)','Beans (Gu)','Corn (north - vuli rains)','Millet (north)','Rice (north)','Cotton (west)','Cotton (east)','Soybeans (south)','Wheat (summer)','Sorghum (Gu)','Sorghum (Deyr)'}

@data
253,915.351859,13.606368,21.901067,Maize
40,5160.69992,23.61505,117.670122,Maize
305,749.339219,22.226861,190.206287,Maize
91,5590.333666,9.576721,62.723613,Maize
112,8186.614873,23.732796,1.144817,Maize
152,185.982465,25.851406,88.416355,Maize
11,0.418119,25.595626,251.583138,Maize
121,131.803579,29.757837,93.746373,Maize
91,1990.025691,14.4096,100.936307,Maize
121,760.888322,26.366347,167.85768,Maize
121,159.327384,29.124366,96.129907,Maize
91,594.493279,9.703528,63.521707,Maize
274,1136.396619,15.370412,91.359466,Maize
107,342.938039,14.378664,68.857807,Maize
305,1239.517282,22.776096,191.848066,Maize
257,6762.628291,23.693825,22.150236,Maize
121,1646.410819,28.685336,126.757993,Maize
182,98.109795,30.448317,107.493681,Maize
121,4549.524522,16.646458,54.985463,Maize
41,2643.866837,12.971651,52.723934,Maize
305,9178.530559,25.471496,136.819067,Maize
254,2213.733903,23.116298,122.125645,Maize
335,285.257587,23.669334,42.196705,Maize
32,7891.061055,19.594525,42.767108,Maize
152,46.270035,31.564834,71.60765,Maize
101,9536.177074,31.319043,29.900232,Maize
131,581.649983,25.992284,252.82794,Maize
192,3598.691179,18.338661,93.594925,Maize
60,50.448357,17.860309,24.735989,Maize
152,731.844583,29.199818,143.708861,Maize
121,85.412199,26.181924,345.006248,Maize
335,207.997088,24.10866,39.730719,Maize
91,181.134214,12.624012,105.405188,Maize
274,276.586557,25.716081,288.213467,Maize
91,234.14894,28.410616,93.789103,Maize
253,0.375956,27.623961,69.958003,Maize
274,713.831501,20.146707,109.222705,Maize
349,5531.941552,23.20042,200.841283,Maize
10,8637.911329,22.618285,114.581357,Maize
152,10.932877,26.411092,257.298136,Maize
101,5258.253182,14.504341,58.99245,Maize
91,138.030511,22.385473,14.6833,Maize
91,5228.670034,23.161332,149.777724,Maize
213,526.20891,16.829505,100.826675,Maize
91,424.303987,20.797776,29.200579,Maize
39,4501.239965,26.88143,105.166805,Maize
288,5223.030359,24.50338,93.608432,Maize
305,10590.27044,23.748772,121.756168,Maize
271,30426.73242,19.86903,86.913981,Maize
162,1749.12384,30.084544,195.829182,Maize
106,281.843038,16.504997,69.337616,Beans
107,135.768256,14.946781,66.842331,Beans
46,112.724998,6.529899,97.794747,Potato
274,2228.143735,23.518657,27.108934,Potato
223,1337.179478,14.319065,34.655499,Potato
305,139.071829,23.745093,48.760482,Potato
152,99.856856,23.516382,306.475614,Potato
132,1636.721987,18.681014,34.076317,Potato
32,259.289879,10.953188,41.638099,Potato
345,65.841747,11.439276,109.024933,Potato
60,993.287434,9.295555,123.505324,Potato
40,37.146738,10.763915,40.655173,Potato
40,652.588094,19.53547,25.675461,Potato
41,268.178083,26.489344,23.580702,Potato
193,2.152853,18.59798,72.896504,Potato
102,2440.804766,9.336847,16.966486,Potato
192,95.370415,12.069266,82.594726,Potato
314,193.522099,23.620838,77.782254,Potato
99,14.974542,21.303421,42.580774,Potato
71,12.170285,13.873622,56.514749,Potato
316,445.154409,21.99587,9.757873,Potato
284,4351.660666,9.850905,58.236127,Barley
163,2564.237188,9.077399,34.159355,Barley
284,887.12165,23.351037,99.695323,Barley
131,1374.176975,13.847009,134.668157,Barley
162,157.246791,7.299183,200.257815,Barley
10,53.228976,20.39977,151.086751,Barley
305,151.911908,-0.353048,37.167183,Barley
284,451.653362,19.368665,168.586803,Barley
315,366.428082,16.973227,10.243176,Barley
152,337.885641,21.183153,127.07454,Barley
253,14963.76366,9.541478,33.770945,Barley
283,719.073764,16.037151,30.012868,Barley
314,85.189967,14.984638,88.297853,Barley
314,138.408629,9.796424,49.491376,Barley
283,1410.350588,19.586039,40.7004,Barley
315,19762.57712,12.740321,63.066919,Barley
283,1305.655402,20.426713,9.882593,Barley
294,1359.013525,10.00489,118.074304,Barley
314,378.840453,16.397516,16.927966,Barley
100,866.023151,13.093348,19.097881,Barley
305,788.547178,7.17752,50.417079,Barley
283,13598.07424,11.551901,56.53999,Barley
11,21.339882,22.908603,146.192905,Barley
283,1875.124598,13.748445,70.123236,Barley
253,34781.28447,9.777199,43.386028,Barley
161,995.903044,11.542809,73.388905,Barley
116,39680.46532,10.73253,47.712566,Barley
310,2866.394473,4.879198,70.17033,Barley
246,35.49969,16.83391,149.64358,Barley
92,32.046073,18.673103,40.56868,Barley
121,7010.219935,12.794416,48.358967,Barley
121,1891.367783,15.484557,46.239342,Barley
121,10764.35301,10.869555,44.77785,Barley
121,6059.200987,9.429279,36.419953,Barley
